"CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","ZRO2(WT%)","HFO2(WT%)","THO2(WT%)","UO2(WT%)","UO3(WT%)","AL2O3(WT%)","CR2O3(WT%)","LA2O3(WT%)","CE2O3(WT%)","CEO2(WT%)","ND2O3(WT%)","SM2O3(WT%)","EU2O3(WT%)","GD2O3(WT%)","DY2O3(WT%)","ER2O3(WT%)","Y2O3(WT%)","V2O3(WT%)","V2O5(WT%)","NB2O3(WT%)","NB2O5(WT%)","TA2O3(WT%)","TA2O5(WT%)","PR2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","PBO(WT%)","SNO2(WT%)","NIO(WT%)","ZNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","F(WT%)","CL(WT%)","OH(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","FE(WT%)","NA(WT%)","HE(MOL/G)","LI(PPM)","BE(PPM)","B(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","SI(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","CD(PPM)","SN(PPM)","SB(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","TL(PPM)","PB(PPM)","PB204(PPM)","PB206(PPM)","PB207(PPM)","PB208(PPM)","BI(PPM)","TH(PPM)","TH232(PPM)","U(PPM)","U238(PPM)","ND143_ND144","ND145_ND144","ND146_ND144","ND148_ND144","ND150_ND144","SM147_ND144","SR87_SR86","RB87_SR86","PB206_PB204","PB206_PB207","PB206_PB208","PB207_PB204","PB207_PB206","PB208_PB204","PB208_PB206","CE138_CE142","LA138_CE142","PB206_U238","PB207_U235","PB208_TH232","RA226_TH230_ACT","TH230_TH232_ACT","TH230_U238_ACT","U234_U238_ACT","U238_PB204","U238_PB206","U238_TH232_ACT","D18O(‰)","D18O(‰VSMOW)","CHROMITE(MOL%)","HERCYNITE(MOL%)","JACOBSITE(MOL%)","MG-CHROMITE(MOL%)","MAGNESIOFERRITE(MOL%)","MAGNETITE(MOL%)","SPINEL(MOL%)","ULVOSPINEL(MOL%)","AGE(KA)","AGE(MA)",
"[20286] WEIDENDORFER D. (2016)","samp. B 28","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","NEPHELINITE","","","","","TITANITE (SPHENE)","","","","","primary","28.7","37.26","","","","","","0.5567","","","","","","","","","","","","","","","","","","","","","1.42","","28.1","0.0013","0.0369","0.3295","0.1893","","","","","0.0063","0.15","","","","","","","","","","","","","","","","","","","","","","","","","21.1331618476171","","638.933844768566","","","","","","3.73405742297664","6.47846682346811","","","0.353949241889874","785.670623548405","389.462861988338","10500.5857476326","3514.9750760631","","","","","","","362.822983476634","898.845436412235","122.130525929864","524.737961965755","112.408899685609","35.9859643051997","112.705989976159","16.2354812012095","95.8588022246059","16.3096285060412","38.1167321307496","4.29588444002005","22.8456565781784","2.14880133466791","224.035277652174","124.23426184057","","","","","0.218540779984391","","0.153858749722646","","8.39901233020489","","6.56764808863143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 28","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","NEPHELINITE","","","","","TITANITE (SPHENE)","","","","","primary","27.93","36.42","","","","","","1.0691","","","","","","","","","","","","","","","","","","","","","1.46","","28.2","0.025","0.0776","0.3928","0.1659","","","","","0","0.0759","","","","","","","","","","","","","","","","","","","","","","","","","16.8466489841382","","609.166787271891","5.91240511842514","","","","","3.63231004500764","4.26032260980889","","","0.468221330792203","756.673742467778","404.147885594727","8200.80977619046","2799.52242484438","","","","","","6.89670455580707","341.232280911531","796.898200475476","109.424379414427","488.644745199612","104.764914238877","34.2927397145882","112.814969788498","16.4581218655358","96.3507385124572","16.6961455195399","38.7787679977232","4.36761108507481","21.8784456618771","2.29202597674245","204.89065695627","121.083072229068","","","","","0.226319327053449","0.158242190340138","0.219567679317492","","7.89357847639146","","4.17090753974182","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 28","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","NEPHELINITE","","","","","TITANITE (SPHENE)","","","","","primary","27.85","34.86","","","","","","1.0532","","","","","","","","","","","","","","","","","","","","","1.86","","27.97","0.0228","0.0419","0.3461","0.1977","","","","","0.0064","0.073","","","","","","","","","","","","","","","","","","","","","","","","","16.2403853837273","","698.736335435589","","","","","","3.30277790546891","4.39274942966025","","","","857.572023247354","390.217190183685","8475.50039506034","4178.06272059363","","","","","","","378.955386988961","960.173732201985","134.257660223017","562.13985263993","117.874416986135","37.3042701767668","115.13236501917","16.8175635321734","94.5828449592991","16.015353615162","38.4448895871546","4.28838952755067","21.2588138256017","2.04761423477231","164.559555954997","116.461558346956","","","","","0.182333498228397","0.240901220678629","0.260356980617483","","8.87627168393188","","6.78600340250555","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 38","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","29.46","38.94","","","","","","0.76","","","","","","","","","","","","","","","","","","","","","1.38","","27.53","0.01","0.01","","","","","","","0","0","","","","","","","","","","","","0.997602617854694","2.55967147427877","","","","","","","","","","","","7.18165169744447","","604.058076835729","","","","8.56186441979068","20.0324554644738","19.3926131996294","16.8869420962718","","","27.3348639621695","784.034336741045","452.460770775258","3239.76295521503","3840.46524280503","23.0631142472977","","","","1.44853835053755E-02","51.9384283261505","457.222129317834","1469.6679199631","221.771351110785","947.60755522488","195.856666577167","58.4941244596677","153.965558478682","21.0786145276873","113.497722772843","18.9342111312792","43.1238481091982","4.87450440454653","24.9294429933812","2.22166214006688","66.5308617939632","164.794285697574","","","","","","","6.11255680462151","","30.0472596896815","","5.92689952268332","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 38","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","29.59","38.33","","","","","","1.02","","","","","","","","","","","","","","","","","","","","","1.41","","27.64","0.05","0.08","","","","","","","0.02","0","","","","","","","","","","","","","0.28026677849739","","","","","","","","","","","","7.44066843548396","","545.209351754659","","","","0.128670388330728","11.9606606160484","2.51859877591827","4.09784952228636","","","0.348273245380237","747.481019164886","443.317157838082","3279.46469234126","4276.71440984611","0.705646667349374","","","","","63.495447371274","598.362290724502","1986.20370817979","306.537211450036","1358.1265960851","260.030399940421","72.1782059841605","182.718289614964","23.4095302723147","117.803489456488","18.8708858476244","41.6409472793546","4.47230805328515","22.4873145899745","2.04517759145508","57.4196903683625","305.994063493876","","","","","","","0.527847402353817","","30.7777506707505","","7.51665639091399","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 38","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","29.74","38.81","","","","","","1.03","","","","","","","","","","","","","","","","","","","","","1.32","","27.99","0","0","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","7.36453383754596","","553.349982115616","","","","","12.959849800478","1.95375280211234","1.94161670070203","","","9.30037807979323E-02","629.073929787939","423.151363351735","3458.54629252269","3245.80504719058","0.389492676387228","","","","","0.334520802866295","383.186376563469","1126.36342134588","171.291807219359","762.843800251395","166.662952794106","50.4770944151801","138.583917902019","19.2921937841368","103.498048844589","17.2836008074768","38.7758764292747","4.20681464840301","21.0028438971426","1.97822399961742","71.8429693758566","233.70784622445","","","","","","","0.114888132288773","","14.7198599536387","","4.06595976375822","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 38","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","30.31","39.84","","","","","","0.54","","","","","","","","","","","","","","","","","","","","","1.14","","28.06","0","0","","","","","","","0.01","0.15","","","","","","","","","","","","","","","","","","","","","","","","","8.48483881452584","","608.820021779084","","","","0.66504138649828","15.7149072683838","11.4792523022067","3.41769825048063","","","0.718566293041475","683.971664084006","472.856592614834","3938.620448786","3942.46484999667","1.94625388221035","","","","9.55935932164457E-03","1.2915339078917","531.095914364512","1668.17218762851","248.469300204031","1033.97834929788","205.842938219442","62.2164723174839","160.69428121559","22.2644322336731","118.234883651563","19.7911726777552","45.3943139300174","5.06634653421589","25.2229639964326","2.3550060759945","93.1649487389069","144.118902406625","","","","","","","0.557731500239386","","33.6163663278274","","6.61233957433293","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 38","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","29.73","38.21","","","","","","1.01","","","","","","","","","","","","","","","","","","","","","1.73","","27.82","0","0.01","","","","","","","0.02","0.02","","","","","","","","","","","","","0.446643093888203","","","","","","","","","","","","7.2422006166124","","567.323001391934","","","","0.261566902807286","14.7113696169803","1.97214094035654","6.20087880807536","","","1.85392430044649","652.690764894331","446.070201708107","3399.88062827441","4025.10865066882","0.72476186515316","","","","","29.3172450016594","492.894362160611","1573.77979441713","238.342242461318","1017.18187248145","201.736764536021","60.8079382744605","155.674008199341","21.7324238371624","112.858255417659","18.6207122516482","42.0578318535671","4.71586681509323","23.2451063367716","2.19820914915814","77.0195061909592","206.28569388041","","","","","","","0.246690787001055","","28.4409599090494","","5.49347407233056","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 49","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","27.22","34.81","","","","","","0.4952","","","","","","","","","","","","","","","","","","","","","1.2464","","27.14","0","0.048","0.5235","0.1672","","","","","0.018","0.3353","","","","","","","","","","","","","","","","","","","","","","","","","11.1966309066382","","502.553960741108","","","","","23.369961910583","3.4904123512374","3.84089010825269","","","","647.584040821776","407.336335647366","5290.18898071321","3611.62457160027","","","","","","","397.561911508511","1392.54159622714","217.902193820586","926.96581016091","190.837445568487","58.1656558608611","149.616929406668","20.7783116777142","106.771753638477","18.1069088179632","40.9514405901719","4.87657343746503","24.1830649513425","2.2635339769831","124.08655925843","89.229563796562","","","","","0.507663645538419","0.417904781366379","0.435006708610657","","25.2726380340366","","5.55570808531096","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 49","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","30.42","36.86","","","","","","0.6303","","","","","","","","","","","","","","","","","","","","","1.41","","28.03","0.0222","0.0486","0.3713","0.1549","","","","","0.0041","0.1653","","","","","","","","","","","","18.4143249322329","","","","","","","","","","","","","18.9728753697466","","2852.72976001358","","","","9.51931169577479","","","492.95389697805","","","","192.240906320656","16.8974779813092","6034.52769561264","1.05032222326277","","","","","","8.90337306137088","5.7365896372871","16.419682203443","2.78981174268341","10.6716718454546","2.46418450011002","1.00075059599688","2.61060116750088","0.342381809486855","2.40663080558556","0.525163801383335","2.77596109953722","0.897863087115994","13.2207267343746","3.24079314190103","89.7598168624651","","","","","","0.268729478279148","0.224685195108831","0.188171733714212","","0.446506979839698","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 49","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","30.17","36.29","","","","","","0.5012","","","","","","","","","","","","","","","","","","","","","1.1769","","27.65","0.0221","0.0486","0.302","0.1237","","","","","0.0017","0.2993","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8886369551553","","","122.584307362093","75197.0487695028","","3.00304475100635","","","","","","13.5972950291212","1495.07165307747","2.13487245737596","5.09587754912694","0.322055787021053","","0.473516736780443","","","","","","","","","","0.290532997142255","","","","","","","0.38130738446256","0.242336317012825","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 49","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","30.34","35.91","","","","","","0.5515","","","","","","","","","","","","","","","","","","","","","1.44","","27.94","0.0127","0.0837","0.3641","0.1326","","","","","0","0.2482","","","","","","","","","","","","","","","","","","","","","","","","","20.6377778337172","","653.702008728699","","","","","22.3074766305025","3.08910838481611","4.18008205396353","","","","616.520368823841","337.301953078234","10870.0476832362","12387.8708703882","","","","","","","356.795916089877","1280.08531048852","202.730554005953","888.779361227752","187.601351274989","55.1590085276395","144.196236062084","19.2699873739296","99.5306367383864","15.5405046224548","34.5530423015015","3.99132090633687","20.4753929756263","1.84800400350082","317.59047063534","960.911194088233","","","","","0.609859935170766","0.469314386982093","0.581873737399156","","40.9118356337364","","10.7518597172261","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 49","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","30.49","35.65","","","","","","0.4379","","","","","","","","","","","","","","","","","","","","","1.4","","27.45","0.0021","0.0446","0.3468","0.1431","","","","","0.0026","0.4148","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103.787370100201","","","178.829524463535","29999.0589343013","2.19850929386994","","","","","","","21.4219501365714","655.116788020143","2.92776063707828","6.57844662844935","0.750226591059578","5.30364645270438","","","","","","","","","","","","","","","","","2.603111757137","1.60687341236448","1.41196413090649","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 49","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","30.12","35.46","","","","","","0.5453","","","","","","","","","","","","","","","","","","","","","1.35","","27.7","0.0147","0.0625","0.3669","0.1732","","","","","0.012","0.2602","","","","","","","","","","","","","","","","","","","","","","","","","9.72751033332254","","601.839214119137","","","","","","2.96970645585485","12.7218178198308","","","1.41383374486908","1124.19940117317","382.247105548135","4294.82534231149","4993.19484152236","","","","","","19.7907015188691","1853.62589410799","5352.56954912702","697.704108998625","2726.67799076713","402.960588532761","99.1529398267501","214.135306971783","24.8421104550973","117.038359948918","18.565213500923","39.0506312470891","4.28926535033014","24.022798070342","2.24579667639118","117.737278893664","428.505351334751","","","","","6.04375201312435","5.62519084768702","5.57206447528291","","232.755136302825","","5.68586812132316","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 49","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","30.36","36.37","","","","","","0.6103","","","","","","","","","","","","","","","","","","","","","1.47","","27.78","0.0055","0.082","0.3295","0.1839","","","","","0","0.1892","","","","","","","","","","","","","","","","","","","","","","","","","13.0286890498347","","518.523400444762","","","","","","3.88614572528248","3.1450193298114","","","","618.315554060586","389.159001818142","6126.87862478379","13086.4710521267","","","","","","","336.31654271389","1197.94226398076","192.367714344938","848.968975096692","197.399777874187","57.3739004507401","147.745363366215","21.2135384943981","112.688959152469","18.5618421650456","40.936101011177","4.55953745655719","25.9702240226717","2.43232868669396","114.982298715584","142.764051267174","","","","","0.501413039898931","0.568253511325555","0.561596697323061","","70.3812614717697","","15.8491526484725","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 49","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","30.34","35.85","","","","","","0.5821","","","","","","","","","","","","","","","","","","","","","1.42","","27.85","0.0345","0.0486","0.3518","0.1627","","","","","0.04","0.1933","","","","","","","","","","","","","","","","","","","","","","","","","12.9988002029689","","602.253375464565","","","","","34.7581364339821","3.61428759270537","3.40100782534321","","","36.2869937902644","604.301225214926","362.082870027941","6536.0196372137","8002.65927111455","","","","","","327.292884107061","330.528509839503","1229.25904425991","196.399931237455","872.695038964455","194.466704150744","57.0367832269799","142.546569311055","19.7993309333536","104.379929263736","16.9569663088167","37.3359071446145","4.14892874613236","22.4581563292009","2.03803500751831","176.150036399411","428.432476516199","","","","","0.897797354043354","0.909153365557246","0.904467345192715","","30.9666727948424","","8.18242902063278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 49","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","30.41","36.53","","","","","","0.4785","","","","","","","","","","","","","","","","","","","","","1.2761","","27.85","0.0021","0.0508","0.3281","0.1254","","","","","0.0302","0.2176","","","","","","","","","","","","","","","","","","","","","","","","","13.4389373771313","","607.844812286084","","","","","","2.74022957723509","3.49968478210649","","","","642.331240385967","340.34648544859","6351.36080262264","7136.26629404099","","","","","","2.07538822985392","265.966300327216","967.439136333497","153.838084418065","670.314609038223","147.327722437555","44.5518765570616","119.032441599888","17.3115076102913","93.7795477920908","15.1824018994401","35.3186928437633","4.44186151798812","22.6727862177489","2.23997935902143","156.82578231831","352.587876576617","","","","","0.567697913043321","0.652994577955708","0.499418897369114","","22.3099431253917","","8.3599175758328","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 49","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","30.56","36.37","","","","","","0.6614","","","","","","","","","","","","","","","","","","","","","1.61","","27.9","0.0243","0.072","0.3017","0.2228","","","","","0.0585","0.1538","","","","","","","","","","","","","","","","","","","","","","","","","11.9137188618577","","687.823980562876","","","","","","3.11199430457385","4.74575752386566","","","1.13512092768473","555.678384395402","369.832792938865","5809.10691194438","10848.4212863539","","","","","","6.19321348647815","282.462638093475","1032.15956717036","163.969397781847","731.209541195001","166.51905200704","49.7365962173803","129.252292240578","19.1391368548665","102.566726104587","16.7624947424638","39.8510740252077","4.71595338341988","27.8160427424127","2.46580018560202","146.086381998857","925.893460829825","","","","","0.626882591750364","0.6449649398163","0.581049484341937","","30.6221471516631","","9.20210527797643","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 49","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","30.21","36.27","","","","","","0.5","","","","","","","","","","","","","","","","","","","","","1.2184","","27.5","0.0104","0.048","0.3966","0.1591","","","","","0.0179","0.2873","","","","","","","","","","","","","","","","","","","","","","","","","10.9253189768556","","718.294293645856","","","","","32.4561020990802","3.01935634391821","4.48724666883978","","","0.232586013122177","599.656353269821","369.739271449716","4981.98676232382","10054.9406165707","","","","","","27.8909173547262","339.958670753454","1305.77937800906","216.23229319395","975.330063636515","215.606655838751","65.6840639954007","160.45290266316","22.6838912913513","117.347001722308","17.9204315190385","38.6760925663031","4.36587871184301","23.3410895861351","2.35220013755781","122.811511058045","969.935012386783","","","","","1.82308371532815","1.63885042905641","1.59741455967817","","30.7859202947511","","6.12769602175781","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 49","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","30.31","36.27","","","","","","0.5544","","","","","","","","","","","","","","","","","","","","","1.34","","27.7","0.0219","0.0843","0.3094","0.1987","","","","","0.0123","0.2243","","","","","","","","","","","","14.3102211497235","","","","","","","","","","","","","5.84181539264485","","592.837842098699","","","","","","4.86653872760002","40.5398146720772","","","2.60132207696357","1864.41456677823","204.601015684427","2441.04192341928","9916.34269778573","","","","","","420.49143465775","155.161234388524","457.38305326072","63.5688460307706","264.134403735798","70.7332578351718","25.5595182398332","72.5234488599212","10.9018273217983","55.9167819963618","8.73769625368706","17.786419199498","1.95650689421417","12.4083204262486","1.12479131113857","47.3167561593038","350.638553593683","","","","","12.6588050318049","11.975518733164","11.7216810162953","","18.2012759380582","","1.85368988925701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 49","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","30.63","36.87","","","","","","0.4866","","","","","","","","","","","","","","","","","","","","","1.1701","","27.74","0","0.0725","0.3604","0.1739","","","","","0.0125","0.2957","","","","","","","","","","","","","","","","","","","","","","","","","7.31140886746369","","631.032463196682","","","","","20.317063117834","2.41586307297338","3.91241311056075","","","","578.134627675834","336.328180456693","3350.26757010679","9434.05055333253","","","","","","","225.484794637669","821.852206595662","125.914864484828","555.189414398608","126.675510016287","40.1262084285172","103.671425868249","15.8554062577355","88.8964694449565","15.2654925427294","34.0848644463731","4.26142158047778","22.1890964881626","2.02569889188078","38.4270026300245","305.609097375122","","","","","0.367266772325406","0.33173596427344","0.447412374235676","","23.7761025799314","","7.92356152959245","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 49","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","30.28","37.06","","","","","","0.6412","","","","","","","","","","","","","","","","","","","","","1.1874","","27.92","0.0163","0.0402","0.374","0.1442","","","","","0.011","0.1773","","","","","","","","","","","","","","","","","","","","","","","","","6.34268185957692","","17.8410617995161","14.0289878282716","","","","","","","","","26.7296361787127","98.6097451798668","12.5557650073542","273.978574667735","97.3437058410424","","","","","0.590310460631752","305.528438712873","11.062104460941","21.0996440648446","2.70803130832249","11.2796004255045","2.53974883717869","0.743256577536518","1.64205595320137","0.172721077642505","1.92009855403291","0.376748852828563","1.16685841873106","0.157903600550472","1.64170198705782","0.177842485230079","7.4188007819479","3.86865366227859","","","","","10.3018904677248","10.7482217624692","10.0314640360901","","3.8421979922631","","1.21630375676046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 49","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","28.05","35.39","","","","","","0.5394","","","","","","","","","","","","","","","","","","","","","1.2475","","27.44","0","0.0758","0.5378","0.1813","","","","","0.0111","0.222","","","","","","","","","","","","","","","","","","","","","","","","","10.050043321257","","382.310881514192","","","","","25.026007458872","3.35443903456955","3.7011091256582","","","","570.517023215933","459.044695947216","4461.2289626739","6143.84236776734","","","","","","","395.178661139148","1484.25961092374","231.831032895787","1024.83789093813","216.685648459552","65.1905452692422","170.712240730609","24.0316926187599","125.025572081475","21.0452122282958","48.1383268219176","5.56766561832724","29.5811748750104","2.43200977594724","102.385566738151","421.089586989577","","","","","0.410351729587555","0.431924713595252","0.466596854290748","","42.590434968026","","24.0837815557289","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[20286] WEIDENDORFER D. (2016)","samp. B 49","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA","","14.83","14.83","-24.68","-24.68","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","29.06","36.81","","","","","","0.6363","","","","","","","","","","","","","","","","","","","","","1.54","","27.73","0.033","0.0553","0.339","0.0973","","","","","0.0105","0.2735","","","","","","","","","","","","","","","","","","","","","","","","","1.79087576563772","","207.41228696015","","","","","27.5811253252421","3.69448663446595","4.50759216888058","","","","709.57241475414","478.66605611761","565.15694309599","8270.74488876189","","","","","","","501.117288742488","1759.24351122222","249.935106258025","1043.02764237995","199.620281197027","60.4967971086036","157.5313109052","22.3969528897697","116.472067794424","20.7318803939437","46.7065697090118","5.05615521254832","24.5825672332237","2.01920305575021","4.43473649206082","101.188431948752","","","","","1.24917933370665","0.911479682751787","0.966365463306393","","131.4060033952","","132.830729044843","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
